Model,Fiyat_TL,RAM,Islemci,Isletim_Sistemi,Depolama,Ekran_Boyutu
APPLE 2023 MacBook Pro M2 Pro - (16 GB/512 GB SSD/macOS Ventura) MNWC3HN/A,96595,16 GB DDR3 RAM,Intel Core i7 Processor (10th Gen),64 bit Windows 10 Operating System,512 GB SSD,45.72 cm (18 Inch) Display
ASUS ROG Flow X13 (2022) with Radeon RX 6850M XT eGPU Ryzen 7 Octa Core 6800HS - (16 GB/1 TB SSD/Windo...,95755,32 GB DDR5 RAM,Intel Core i9 Processor (12th Gen),64 bit Windows 11 Operating System,2 TB SSD,39.62 cm (15.6 inch) Display
APPLE 2021 Macbook Pro M1 Pro - (16 GB/1 TB SSD/Mac OS Monterey) MKGQ3HN/A,94537,16 GB DDR5 RAM,AMD Ryzen 9 Octa Core Processor,Windows 11 Operating System,1 TB SSD,40.64 cm (16 Inch) Display
APPLE 2021 Macbook Pro M1 Pro - (16 GB/1 TB SSD/Mac OS Monterey) MKGT3HN/A,94537,32 GB DDR5 RAM,Intel Core i9 Processor (13th Gen),Windows 11 Operating System,1 TB SSD,39.62 cm (15.6 Inch) Display
ASUS ROG Zephyrus Duo 16 (2022) Dual Screen Laptop with 90Whr Battery Ryzen 7 Octa Core 6800H - (32 GB...,94495,32 GB DDR5 RAM,AMD Ryzen 9 Octa Core Processor,Windows 11 Operating System,1 TB SSD,35.56 cm (14 inch) Touchscreen Display
Acer Predator Triton 500 SE Core i7 12th Gen - (32 GB/2 TB SSD/Windows 11 Home/8 GB Graphics/NVIDIA Ge...,94495,32 GB DDR5 RAM,Intel Core i9 Processor (12th Gen),64 bit Windows 11 Operating System,2 TB SSD,43.94 cm (17.3 inch) Display
ASUS ROG Zephyrus Duo 16 (2022) Dual Screen Laptop with 90Whr Battery Ryzen 7 Octa Core 6800H - (32 GB...,94495,32 GB LPDDR5 RAM,AMD Ryzen 7 Octa Core Processor,64 bit Windows 11 Operating System,1 TB SSD,43.94 cm (17.3 Inch) Display
ASUS ProArt Studiobook 16 OLED (2022) with ASUS Dial Core i7 12th Gen - (32 GB/1 TB SSD/Windows 11 Hom...,92395,16 GB LPDDR5 RAM,Intel Core i9 Processor (12th Gen),64 bit Windows 11 Operating System,1 TB SSD,40.64 cm (16 Inch) Display
MSI Core i7 13th Gen - (32 GB/1 TB SSD/Windows 11 Home/8 GB Graphics/NVIDIA GeForce RTX 4060) Stealth ...,92395,16 GB DDR4 RAM,Intel Core i7 Processor (10th Gen),64 bit Windows 10 Operating System,1 TB SSD,35.56 cm (14 Inch) Display
MSI Creator 15 Core i7 10th Gen - (32 GB/1 TB SSD/Windows 10 Home/8 GB Graphics/NVIDIA GeForce RTX 207...,90295,32 GB DDR5 RAM,Intel Core i7 Processor (13th Gen),Windows 11 Operating System,1 TB SSD,40.64 cm (16 Inch) Display
ASUS ROG Flow Z13 (2023) Intel H-Series Core i9 13th Gen - (16 GB/1 TB SSD/Windows 11 Home/8 GB Graphi...,88768,32 GB DDR5 RAM,Intel Core i9 Processor (13th Gen),Windows 11 Operating System,1 TB SSD,34.04 cm (13.4 Inch) Touchscreen Display
"ASUS Zenbook Pro 14 Duo OLED (2023) For Creator, Intel H-Series Core i5 13th Gen - (16 GB/1 TB SSD/Win...",85869,16 GB Unified Memory RAM,Apple M2 Pro Processor,Mac OS Operating System,1 TB SSD,34.04 cm (13.4 Inch) Touchscreen Display
ALIENWARE Core i7 10th Gen - (16 GB/1 TB SSD/Windows 10 Home/6 GB Graphics/NVIDIA GeForce RTX 2060/300...,85045,16 GB DDR5 RAM,Intel Core i7 Processor (12th Gen),64 bit Windows 11 Operating System,1 TB SSD,"15.6 inch Full HD LED Backlit Anti-glare IPS Display, 300 Hz, 300 Nits"
DELL Alienware Core i7 12th Gen - (32 GB/1 TB SSD/Windows 11 Home/6 GB Graphics/NVIDIA GeForce RTX 306...,84420,16 GB DDR5 RAM,Intel Core i7 Processor (12th Gen),64 bit Windows 11 Operating System,1 TB SSD,39.62 cm (15.6 inch) Display
Acer Predator (2023) Core i9 13th Gen - (16 GB/1 TB SSD/Windows 11 Home/8 GB Graphics/NVIDIA GeForce R...,83995,16 GB DDR4 RAM,Intel Core i7 Processor (8th Gen),64 bit Windows 10 Operating System,512 GB SSD,40.64 cm (16 Inch) Display
Acer Predator (2023) Core i9 13th Gen - (16 GB/1 TB SSD/Windows 11 Home/8 GB Graphics/NVIDIA GeForce R...,83995,64 GB DDR5 RAM,Intel Core i9 Processor (13th Gen),Windows 11 Operating System,4 TB SSD,40.64 cm (16 Inch) Display
MSI Core i7 13th Gen - (32 GB/1 TB SSD/Windows 11 Home/8 GB Graphics/NVIDIA GeForce RTX 4070) Vector G...,83995,64 GB DDR5 RAM,Intel Core i9 Processor (13th Gen),Windows 11 Operating System,2 TB SSD,40.64 cm (16 Inch) Display
Acer Predator (2023) Core i7 13th Gen - (32 GB/1 TB SSD/Windows 11 Home/8 GB Graphics/NVIDIA GeForce R...,83995,64 GB DDR5 RAM,Intel Core i9 Processor (12th Gen),64 bit Windows 11 Operating System,2 TB SSD,39.62 cm (15.6 Inch) Display
ASUS ROG Zephyrus Duo 16 (2022) Dual Screen Laptop with 90Whr Battery Ryzen 7 Octa Core 6800H - (32 GB...,83995,32 GB DDR5 RAM,AMD Ryzen 9 16 Core Processor,Windows 11 Operating System,2 TB SSD,39.62 cm (15.6 inch) Display
HP OMEN Core i7 13th Gen - (16 GB/1 TB SSD/Windows 11 Home/8 GB Graphics/NVIDIA GeForce RTX 4070) 16-u...,83995,32 GB DDR5 RAM,Intel Core i9 Processor (12th Gen),64 bit Windows 11 Operating System,4 TB SSD,35.56 cm (14 inch) Display
ASUS ZenBook Pro 15 Core i9 8th Gen - (16 GB/1 TB SSD/Windows 10 Home/4 GB Graphics) UX580GE-E2032T La...,83155,32 GB LPDDR5 RAM,Intel Core i9 Processor (13th Gen),64 bit Windows 11 Operating System,1 TB SSD,43.94 cm (17.3 Inch) Display
MSI GS66 Core i7 11th Gen - (16 GB/1 TB SSD/Windows 10 Home/8 GB Graphics/NVIDIA GeForce RTX 3070/165 ...,82105,32 GB DDR5 RAM,AMD Ryzen 9 Octa Core Processor,64 bit Windows 11 Operating System,2 TB SSD,43.94 cm (17.3 Inch) Display
